IIIIIZXIIIIIIIIIIIIZX	(-0.05753745+0j)
IIIIZIXZIIIIIIIIIIIIX	(-0.05753745+0j)
IIIIIZXIIIIIIIIIIIIIX	(0.05753745+0j)
IIXYYIXZIIIIIIIIIIIZX	(0.01385988+0j)
IIXXYIYIIIIIIIIIIIIZX	(-0.01385988+0j)
IIXYYIXZIIIIIIIIIIIIX	(-0.01385988+0j)
IIXXYIYIIIIIIIIIIIIIX	(0.01385988+0j)
IIIIZXZIIIIIIIIIIIIZX	(0.01385988+0j)
IIIIIXIIIIIIIIIIIIIZX	(-0.01385988+0j)
IIIIZXZIIIIIIIIIIIIIX	(-0.01385988+0j)
IIIIIXIIIIIIIIIIIIIIX	(0.01385988+0j)
IIXYYXZIIIIIIIIIIIIZX	(-0.05753745+0j)
IIXXYYZIIIIIIIIIIIIZX	(0.05753745+0j)
IIXYYXZIIIIIIIIIIIIIX	(0.05753745+0j)
IIXXYYZIIIIIIIIIIIIIX	(-0.05753745+0j)
IYYZIIIIIIIIIIIIIIIZX	(0.03958962+0j)
IXXIIIIIIIIIIIIIIIIZX	(0.03958962+0j)
IYYZIIIIIIIIIIIIIIIIX	(-0.03958962+0j)
IXXIIIIIIIIIIIIIIIIIX	(-0.03958962+0j)
ZXZIZIIIIIIIIIIIIIIZX	(0.04266421+0j)
IXIIIIIIIIIIIIIIIIIZX	(-0.04266421+0j)
ZXZIZIIIIIIIIIIIIIIIX	(-0.04266421+0j)
IXIIIIIIIIIIIIIIIIIIX	(0.04266421+0j)
IIIZZIIZIIIZIIZIXXZXX	(0.00246534+0j)
IIIZZIIZIIIZIIZIXYZXY	(0.00246534+0j)
IIIIIIIIIIIYYZIIIIZXX	(0.00324491+0j)
IIIIIIIIIIIYXZIIIIZXY	(-0.00324491+0j)
IIIZZIIZIIIZIIZIIZXXX	(0.00195374+0j)
IIIZZIIZIIIZIIZIIZYXY	(0.00195374+0j)
IIIIIIIIIIIXIIIIIIXXX	(0.00364523+0j)
IIIZZIIZIIIXZZZIIZYYX	(-0.00270925+0j)
IIIIIIIIIIIXIIIIIIYXY	(0.00270925+0j)
IIIZZIIZIIIXZZZIIZXYY	(0.00364523+0j)
IIIIIIIIIIIIIIIIIZYYX	(0.00406899+0j)
IIIIIIIIIIIIIIIIIZXYY	(-0.00406899+0j)
IIIZZIIZIIIXYZZIXYYYX	(0.00421117+0j)
IIIZZIIZIIIXXZZIXXYYX	(0.00239533+0j)
IIIZZIIZIIIXYZZIXXXYX	(0.00181583+0j)
IIIZZIIZIIIXXZZIXYYYY	(-0.00181583+0j)
IIIZZIIZIIIXYZZIXYXYY	(-0.00239533+0j)
IIIZZIIZIIIXXZZIXXXYY	(-0.00421117+0j)
IIIIIIIIIIIIIIIIZZYYX	(0.00480211+0j)
IIIIIIIIIIIIIIIIZZXYY	(-0.00480211+0j)
IIIIIIIIIIIIIIIZIIYYX	(0.00480211+0j)
IIIIIIIIIIIIIIIZIIXYY	(-0.00480211+0j)
IIIZZIIZIIIIIIZZZZYYX	(0.00506399+0j)
IIIZZIIZIIIIIIZZZZXYY	(-0.00506399+0j)
IIIIIIIIIIIIIIZIIIYYX	(0.00506399+0j)
IIIIIIIIIIIIIIZIIIXYY	(-0.00506399+0j)
IIIIIIIIIIIZIXZIIIYYX	(-0.00107518+0j)
IIIIIIIIIIIIZXIIIIYYX	(0.00168422+0j)
IIIIIIIIIIIZIXZIIIXYY	(0.00168422+0j)
IIIIIIIIIIIIZXIIIIXYY	(-0.00107518+0j)
IIIIIIIIIIIIZIIIIIYYX	(0.00349482+0j)
IIIIIIIIIIIIZIIIIIXYY	(-0.00349482+0j)
